Site;pH;temp;Ec;Turb ;Dist_R_m;Ct_value;True_pos
Trepot;7,52;13,5;275;555;40,705951;37,54;37,54
Trepot;7,52;13,5;275;555;40,705951;37,66;37,66
Trepot;7,52;13,5;275;555;40,705951;37,7;37,7
Trepot;7,52;13,5;275;555;40,705951;40,46;40,46
Trepot;7,52;13,5;275;555;40,705951;41,78;41,78
Trepot;7,52;13,5;275;555;40,705951;39,51;39,51
Trepot;7,52;13,5;275;555;40,705951;39,65;39,65
Trepot;7,52;13,5;275;555;40,705951;40,02;40,02
Trepot;7,52;13,5;275;555;40,705951;38,16;38,16
Tarcenay (nord molinaie);7,27;13,6;145;75;205,967464;38,57;38,57
Tarcenay (nord molinaie);7,27;13,6;145;75;205,967464;38,18;38,18
Tarcenay (nord molinaie);7,27;13,6;145;75;205,967464;37,51;37,51
Tarcenay (nord molinaie);7,27;13,6;145;75;205,967464;38,71;38,71
Tarcenay (nord molinaie);7,27;13,6;145;75;205,967464;38,55;38,55
Tarcenay (nord molinaie);7,27;13,6;145;75;205,967464;38,1;38,1
Tarcenay (nord molinaie);7,27;13,6;145;75;205,967464;38,02;38,02
Tarcenay (nord molinaie);7,27;13,6;145;75;205,967464;38,34;38,34
Tarcenay (nord molinaie);7,27;13,6;145;75;205,967464;38,86;38,86
Les Monts-Ronds;7,73;11,3;544;269;3,265704;37,38;37,38
Les Monts-Ronds;7,73;11,3;544;269;3,265704;37,36;37,36
Les Monts-Ronds;7,73;11,3;544;269;3,265704;37,63;37,63
Les Monts-Ronds;7,73;11,3;544;269;3,265704;36,61;36,61
Les Monts-Ronds;7,73;11,3;544;269;3,265704;36,28;36,28
Les Monts-Ronds;7,73;11,3;544;269;3,265704;36,9;36,9
Les Monts-Ronds;7,73;11,3;544;269;3,265704;38,19;38,19
Les Monts-Ronds;7,73;11,3;544;269;3,265704;38,36;38,36
Les Monts-Ronds;7,73;11,3;544;269;3,265704;38,32;38,32
Tarcenay ReZo - exterieur etang;6,91;16,2;106;53;45,111653;38,21;38,21
Tarcenay ReZo - exterieur etang;6,91;16,2;106;53;45,111653;37,87;37,87
Tarcenay ReZo - exterieur etang;6,91;16,2;106;53;45,111653;37,78;37,78
Tarcenay ReZo - exterieur etang;6,91;16,2;106;53;45,111653;35,75;35,75
Tarcenay ReZo - exterieur etang;6,91;16,2;106;53;45,111653;35,77;35,77
Tarcenay ReZo - exterieur etang;6,91;16,2;106;53;45,111653;35,94;35,94
Tarcenay ReZo - exterieur etang;6,91;16,2;106;53;45,111653;36,93;36,93
Tarcenay ReZo - exterieur etang;6,91;16,2;106;53;45,111653;37,66;37,66
Tarcenay ReZo - exterieur etang;6,91;16,2;106;53;45,111653;37,46;37,46
Tarcenay ReZo - interieur etang;6,91;16,2;106;53;63,23466;35,36;35,36
Tarcenay ReZo - interieur etang;6,91;16,2;106;53;63,23466;35,33;35,33
Tarcenay ReZo - interieur etang;6,91;16,2;106;53;63,23466;34,86;34,86
Tarcenay ReZo - interieur etang;6,91;16,2;106;53;63,23466;35,98;35,98
Tarcenay ReZo - interieur etang;6,91;16,2;106;53;63,23466;36,12;36,12
Tarcenay ReZo - interieur etang;6,91;16,2;106;53;63,23466;35,83;35,83
Tarcenay ReZo - interieur etang;6,91;16,2;106;53;63,23466;35,77;35,77
Tarcenay ReZo - interieur etang;6,91;16,2;106;53;45,111653;36,1;36,1
Tarcenay ReZo - interieur etang;6,91;16,2;106;53;45,111653;36,01;36,01
Le Gratteris;7,94;16;276;145;70,362685;38,22;38,22
Le Gratteris;7,94;16;276;145;70,362685;38,01;38,01
Le Gratteris;7,94;16;276;145;70,362685;38,02;38,02
Le Gratteris;7,94;16;276;145;70,362685;36,92;36,92
Le Gratteris;7,94;16;276;145;70,362685;37,16;37,16
Le Gratteris;7,94;16;276;145;70,362685;37,79;37,79
Le Gratteris;7,94;16;276;145;70,362685;37,68;37,68
Le Gratteris;7,94;16;276;145;70,362685;39,5;39,5
Le Gratteris;7,94;16;276;145;70,362685;39,98;39,98
Etalans - etang des Durgeons;8,24;16,5;488;242;32,341443;;
Etalans - etang des Durgeons;8,24;16,5;488;242;32,341443;39,04;39,04
Etalans - etang des Durgeons;8,24;16,5;488;242;32,341443;42,32;
Etalans - etang des Durgeons;8,24;16,5;488;242;32,341443;47,24;
Etalans - etang des Durgeons;8,24;16,5;488;242;32,341443;21,55;
Etalans - etang des Durgeons;8,24;16,5;488;242;32,341443;43,84;
Etalans - exutoire etang des Durgeons;8,24;16,5;488;242;12,46705;41,45;41,45
Etalans - exutoire etang des Durgeons;8,24;16,5;488;242;12,46705;48,34;
Etalans - exutoire etang des Durgeons;8,24;16,5;488;242;12,46705;;
Etalans - exutoire etang des Durgeons;8,24;16,5;488;242;12,46705;40,08;40,08
Etalans - exutoire etang des Durgeons;8,24;16,5;488;242;12,46705;43,49;
Etalans - exutoire etang des Durgeons;8,24;16,5;488;242;12,46705;36,08;36,08
Marais de Saone - ruisseau proche etang FDC25;7,66;11,8;392;196;3,756342;50;
Marais de Saone - ruisseau proche etang FDC25;7,66;11,8;392;196;3,756342;41,75;41,75
Marais de Saone - ruisseau proche etang FDC25;7,66;11,8;392;196;3,756342;39,92;39,92
Marais de Saone - ruisseau proche etang FDC25;7,66;11,8;392;196;3,756342;40,88;40,88
Marais de Saone - ruisseau proche etang FDC25;7,66;11,8;392;196;3,756342;42,75;
Marais de Saone - ruisseau proche etang FDC25;7,66;11,8;392;196;3,756342;41,26;41,26
Marais de Saone - ruisseau proche etang FDC25;7,66;11,8;392;196;3,756342;39,95;39,95
Marais de Saone - ruisseau proche etang FDC25;7,66;11,8;392;196;3,756342;39,83;39,83
Marais de Saone - ruisseau proche etang FDC25;7,66;11,8;392;196;3,756342;40,75;40,75
Marais de Saone - etang FDC25;8,41;19;127;63;63,142514;37,8;37,8
Marais de Saone - etang FDC25;8,41;19;127;63;63,142514;38,65;38,65
Marais de Saone - etang FDC25;8,41;19;127;63;63,142514;38,95;38,95
Marais de Saone - etang FDC25;8,41;19;127;63;63,142514;39,08;39,08
Marais de Saone - etang FDC25;8,41;19;127;63;63,142514;38,84;38,84
Marais de Saone - etang FDC25;8,41;19;127;63;63,142514;39,74;39,74
Marais de Saone - ruisseau marais;7,6;12,5;515;258;3,078704;39,66;39,66
Marais de Saone - ruisseau marais;7,6;12,5;515;258;3,078704;39,04;39,04
Marais de Saone - ruisseau marais;7,6;12,5;515;258;3,078704;39,61;39,61
Marais de Saone - ruisseau marais;7,6;12,5;515;258;3,078704;40,24;40,24
Marais de Saone - ruisseau marais;7,6;12,5;515;258;3,078704;40,7;40,7
Marais de Saone - ruisseau marais;7,6;12,5;515;258;3,078704;41,07;41,07
Saone - etang bord de route;7,44;17,3;265;133;62,140754;39,97;39,97
Saone - etang bord de route;7,44;17,3;265;133;62,140754;39,8;39,8
Saone - etang bord de route;7,44;17,3;265;133;62,140754;41,85;41,85
Saone - etang bord de route;7,44;17,3;265;133;62,140754;41,5;41,5
Saone - etang bord de route;7,44;17,3;265;133;62,140754;41,77;41,77
Saone - etang bord de route;7,44;17,3;265;133;62,140754;;